Hautes Ecoles (2019),15-24 y.o. (2019),1788
Hautes Ecoles (2019),25-44 y.o. (2019),26591
Hautes Ecoles (2019),45-64 y.o. (2019),8707
Hautes Ecoles (2019),more than 64 y.o. (2019),3105
Professionnelle Supérieure (2019),15-24 y.o. (2019),315
Professionnelle Supérieure (2019),25-44 y.o. (2019),3663
Professionnelle Supérieure (2019),45-64 y.o. (2019),3585
Professionnelle Supérieure (2019),more than 64 y.o. (2019),1634
Formation Générale (2019),15-24 y.o. (2019),4099
Formation Générale (2019),25-44 y.o. (2019),4673
Formation Générale (2019),45-64 y.o. (2019),3372
Formation Générale (2019),more than 64 y.o. (2019),2040
Formation Professionnelle (2019),15-24 y.o. (2019),2420
Formation Professionnelle (2019),25-44 y.o. (2019),6527
Formation Professionnelle (2019),45-64 y.o. (2019),6760
Formation Professionnelle (2019),more than 64 y.o. (2019),5635
Sans formation postobligatoire (2019),under 15 (2019),20433
Sans formation postobligatoire (2019),15-24 y.o. (2019),6251
Sans formation postobligatoire (2019),25-44 y.o. (2019),7580
Sans formation postobligatoire (2019),45-64 y.o. (2019),9987
Sans formation postobligatoire (2019),more than 64 y.o. (2019),6942
Unknown (2019),15-24 y.o. (2019),4033
Unknown (2019),25-44 y.o. (2019),3386
Unknown (2019),45-64 y.o. (2019),1103
Unknown (2019),more than 64 y.o. (2019),1403
under 15 (2019),Overall Population (2019),20433
15-24 y.o. (2019),Overall Population (2019),18906
25-44 y.o. (2019),Overall Population (2019),52419
45-64 y.o. (2019),Overall Population (2019),33514
more than 64 y.o. (2019),Overall Population (2019),20759
Overall Population (2019),Total Waste (2019),67046
Total Waste (2019),Incinerable (2019),33462
Total Waste (2019),Paper (2019),13808
Total Waste (2019),Glass (2019),7856
Total Waste (2019),Iron (2019),2126
Total Waste (2019),Vegetabe (2019),9793
