
Hautes Ecoles (2018),15-24 y.o. (2018),2029
Hautes Ecoles (2018),25-44 y.o. (2018),26508
Hautes Ecoles (2018),45-64 y.o. (2018),9268
Hautes Ecoles (2018),more than 64 y.o. (2018),2807
Professionnelle Supérieure (2018),15-24 y.o. (2018),180
Professionnelle Supérieure (2018),25-44 y.o. (2018),3681
Professionnelle Supérieure (2018),45-64 y.o. (2018),3069
Professionnelle Supérieure (2018),more than 64 y.o. (2018),1891
Formation Générale (2018),15-24 y.o. (2018),4438
Formation Générale (2018),25-44 y.o. (2018),4491
Formation Générale (2018),45-64 y.o. (2018),3090
Formation Générale (2018),more than 64 y.o. (2018),1769
Formation Professionnelle (2018),15-24 y.o. (2018),1946
Formation Professionnelle (2018),25-44 y.o. (2018),6580
Formation Professionnelle (2018),45-64 y.o. (2018),7059
Formation Professionnelle (2018),more than 64 y.o. (2018),5898
Sans formation postobligatoire (2018),under 15 (2018),20458
Sans formation postobligatoire (2018),15-24 y.o. (2018),6457
Sans formation postobligatoire (2018),25-44 y.o. (2018),7913
Sans formation postobligatoire (2018),45-64 y.o. (2018),9463
Sans formation postobligatoire (2018),more than 64 y.o. (2018),6973
Unknown (2018),15-24 y.o. (2018),3825
Unknown (2018),25-44 y.o. (2018),3297
Unknown (2018),45-64 y.o. (2018),1034
Unknown (2018),more than 64 y.o. (2018),1363
under 15 (2018),Overall Population (2018),20458
15-24 y.o. (2018),Overall Population (2018),18875
25-44 y.o. (2018),Overall Population (2018),52470
45-64 y.o. (2018),Overall Population (2018),32984
more than 64 y.o. (2018),Overall Population (2018),20701
Overall Population (2018),Total Waste (2018),69142
Total Waste (2018),Incinerable (2018),34740
Total Waste (2018),Paper (2018),14799
Total Waste (2018),Glass (2018),7487
Total Waste (2018),Iron (2018),2217
Total Waste (2018),Vegetabe (2018),9899
